City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,66.04,clear sky,-33.65,115.3333,Observatory Guest House
1,Ponta Delgada,PT,65.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
2,Tripoli,LY,62.73,overcast clouds,32.8752,13.1875,Hotel Al-Safwa
3,Ushuaia,AR,64.02,scattered clouds,-54.8,-68.3,Albatross Hotel
4,Los Llanos De Aridane,ES,66.13,few clouds,28.6585,-17.9182,Valle Aridane
5,Hobart,AU,59.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
6,Kapaa,US,64.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Tura,IN,50.34,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
8,Cape Town,ZA,78.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
10,Rikitea,PF,78.64,scattered clouds,-23.1203,-134.9692,People ThankYou
11,Ponta Do Sol,PT,73.13,clear sky,32.6667,-17.1,Hotel do Campo
14,Punta Arenas,CL,62.71,broken clouds,-53.15,-70.9167,Hotel Hain
15,Richards Bay,ZA,73.15,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
16,Mocajuba,BR,83.57,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
17,Dumas,US,39.11,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
18,Kutum,SD,59.34,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
20,Torbay,CA,49.75,light rain,47.6666,-52.7314,Gallows Cove
22,Nisia Floresta,BR,88.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
26,Lagoa,PT,58.69,scattered clouds,39.05,-27.9833,Casa Das Faias
27,Hermanus,ZA,71.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Mataura,NZ,50.49,scattered clouds,-46.1927,168.8643,Ellie's Villa
29,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
30,Riachao Das Neves,BR,88.09,scattered clouds,-11.7461,-44.91,Casa Costa
31,Porto Novo,BJ,85.82,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
33,Roura,GF,84.11,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
35,Huarmey,PE,76.71,few clouds,-10.0681,-78.1522,Hotel Miramar
37,Arlit,NE,69.24,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
39,Labuhan,ID,78.3,overcast clouds,-6.8844,112.2051,DoubleFAG
40,Sola,VU,82.42,overcast clouds,-13.8833,167.55,Leumerus Bungalows
41,George,ZA,67.55,few clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
42,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
43,Bredasdorp,ZA,71.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
46,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
48,Tres Passos,BR,74.59,moderate rain,-27.4556,-53.9319,Hotel Imperial
49,Saldanha,ZA,87.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
50,Kinshasa,CD,86.38,few clouds,-4.3246,15.3215,Flat Hotel Alhdeef
51,Airai,TL,61.03,overcast clouds,-8.9266,125.4092,
53,Maxixe,MZ,80.42,scattered clouds,-23.8597,35.3472,Oceano
54,La Macarena,CO,88.56,broken clouds,2.1837,-73.7849,Hotel Punto Verde
55,Puerto Ayora,EC,85.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Cidreira,BR,82.81,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
58,Bonavista,CA,35.11,snow,48.6499,-53.1147,Abbott's Bed & Breakfast
59,Chuy,UY,79.97,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
60,Tambura,SS,77.18,overcast clouds,5.6,27.4667,Rikito Lodge
62,Hobyo,SO,76.55,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
64,New Norfolk,AU,58.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
66,Kaitangata,NZ,45.28,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
67,Port Macquarie,AU,62.56,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
68,Castro,BR,75.85,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
69,Atuona,PF,78.78,few clouds,-9.8,-139.0333,Villa Enata
70,Bambous Virieux,MU,80.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
71,Arraial Do Cabo,BR,89.56,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
72,La Ciotat,FR,56.17,scattered clouds,43.1748,5.6045,ibis La Ciotat
73,Kanigiri,IN,73.47,broken clouds,15.4,79.5167,COMFORT INN
74,Ouallam,NE,76.15,scattered clouds,14.3188,2.0866,
75,Mar Del Plata,AR,67.08,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
77,Paredon,MX,76.51,clear sky,16.0333,-93.8667,Hotel Principal Paredon
78,Trincomalee,LK,79.11,scattered clouds,8.5711,81.2335,Welcombe Hotel
80,Pleasanton,US,58.32,overcast clouds,37.6624,-121.8747,Four Points by Sheraton Pleasanton
81,Mahebourg,MU,80.26,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
87,Ancud,CL,72.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
90,Bluff,NZ,50.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
94,Kisangani,CD,72.91,overcast clouds,0.5167,25.2,Grand Ramela Hotel
95,Vao,NC,79.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
97,Killybegs,IE,46.45,overcast clouds,54.6333,-8.45,Tara Hotel
98,Matara,LK,74.41,clear sky,5.9485,80.5353,Amaloh Boutique Resort
99,Salalah,OM,71.58,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
101,Fortuna,US,50.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
102,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
103,Muros,ES,54.09,few clouds,42.7762,-9.0603,Apartment Av. Castelao
104,Manjacaze,MZ,73.92,light rain,-24.7117,33.8828,Hotel Gani
105,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
107,Vila Do Maio,CV,83.19,clear sky,15.1333,-23.2167,Hotel Marilu
108,Beloha,MG,75.85,overcast clouds,-25.1667,45.05,
110,Bharatpur,IN,50.23,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
111,Bubaque,GW,79.07,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
112,Lasa,IT,40.46,clear sky,46.6166,10.7002,Pension Feldgärtenhof
113,East London,ZA,67.14,light intensity drizzle,-33.0153,27.9116,Tu Casa
115,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
117,Ahipara,NZ,71.15,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
118,Lorengau,PG,80.71,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
119,Butaritari,KI,82.24,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
