City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Busselton,AU,-33.65,115.3333,66.04,76,0,6.42,clear sky
Ponta Delgada,PT,37.7333,-25.6667,65.5,72,20,14.97,few clouds
Tripoli,LY,32.8752,13.1875,62.73,47,90,5.44,overcast clouds
Ushuaia,AR,-54.8,-68.3,64.02,39,40,12.66,scattered clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,79,20,3.0,few clouds
Hobart,AU,-42.8794,147.3294,59.02,78,75,5.75,broken clouds
Kapaa,US,22.0752,-159.319,64.72,100,40,5.75,scattered clouds
Tura,IN,25.5198,90.2201,50.34,91,11,1.23,few clouds
Cape Town,ZA,-33.9258,18.4232,78.12,62,0,4.0,clear sky
Leningradskiy,RU,69.3833,178.4167,-22.23,96,26,4.54,scattered clouds
Rikitea,PF,-23.1203,-134.9692,78.64,73,47,12.33,scattered clouds
Ponta Do Sol,PT,32.6667,-17.1,73.13,39,3,11.16,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,20,9.22,few clouds
Jamestown,US,42.097,-79.2353,19.02,47,75,4.0,broken clouds
Punta Arenas,CL,-53.15,-70.9167,62.71,59,75,34.52,broken clouds
Richards Bay,ZA,-28.783,32.0377,73.15,82,99,10.92,overcast clouds
Mocajuba,BR,-2.5842,-49.5072,83.57,73,96,3.83,overcast clouds
Dumas,US,35.8656,-101.9732,39.11,51,0,17.27,clear sky
Kutum,SD,14.2,24.6667,59.34,17,14,12.12,few clouds
Balkhash,KZ,46.844,74.9804,12.78,77,1,18.28,clear sky
Torbay,CA,47.6666,-52.7314,49.75,94,100,24.16,light rain
Roma,US,43.2128,-75.4557,18.88,67,0,14.97,clear sky
Nisia Floresta,BR,-6.0911,-35.2086,88.61,52,50,12.08,scattered clouds
Pangnirtung,CA,66.1451,-65.7125,-23.8,69,75,3.44,broken clouds
Saskylakh,RU,71.9167,114.0833,-29.24,100,87,3.87,overcast clouds
Narsaq,GL,60.9167,-46.05,-2.02,73,0,5.68,clear sky
Lagoa,PT,39.05,-27.9833,58.69,79,35,18.28,scattered clouds
Hermanus,ZA,-34.4187,19.2345,71.8,74,77,17.9,broken clouds
Mataura,NZ,-46.1927,168.8643,50.49,90,27,1.63,scattered clouds
Avarua,CK,-21.2078,-159.775,78.85,83,40,11.5,scattered clouds
Riachao Das Neves,BR,-11.7461,-44.91,88.09,49,43,2.42,scattered clouds
Porto Novo,BJ,6.4965,2.6036,85.82,71,2,8.61,clear sky
Kargasok,RU,59.0556,80.8572,17.76,96,100,4.92,overcast clouds
Roura,GF,4.7263,-52.3274,84.11,70,75,17.27,broken clouds
Yamada,JP,39.4667,141.95,24.08,66,15,5.46,few clouds
Huarmey,PE,-10.0681,-78.1522,76.71,71,21,11.63,few clouds
Arman,RU,59.7,150.1667,-4.63,73,48,12.44,scattered clouds
Arlit,NE,18.7369,7.3853,69.24,11,0,8.55,clear sky
Kurumkan,RU,54.3,110.3,-4.85,95,89,3.02,overcast clouds
Labuhan,ID,-6.8844,112.2051,78.3,86,100,8.7,overcast clouds
Sola,VU,-13.8833,167.55,82.42,77,100,21.05,overcast clouds
George,ZA,-33.963,22.4617,67.55,88,20,17.27,few clouds
Vaini,TO,-21.2,-175.2,75.36,100,100,13.8,light rain
Bredasdorp,ZA,-34.5322,20.0403,71.28,68,63,24.16,broken clouds
Nanortalik,GL,60.1432,-45.2371,13.42,61,24,23.53,few clouds
Walvis Bay,NA,-22.9575,14.5053,70.75,73,7,5.75,clear sky
Georgetown,MY,5.4112,100.3354,81.9,85,20,0.0,few clouds
Barrow,US,71.2906,-156.7887,-11.18,64,100,12.66,light snow
Tres Passos,BR,-27.4556,-53.9319,74.59,94,100,5.79,moderate rain
Saldanha,ZA,-33.0117,17.9442,87.85,71,13,8.63,few clouds
Kinshasa,CD,-4.3246,15.3215,86.38,62,20,6.91,few clouds
Airai,TL,-8.9266,125.4092,61.03,92,93,1.83,overcast clouds
Albany,US,42.6001,-73.9662,21.02,64,25,1.99,scattered clouds
Maxixe,MZ,-23.8597,35.3472,80.42,78,40,11.99,scattered clouds
La Macarena,CO,2.1837,-73.7849,88.56,48,76,4.97,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,85.96,85,56,5.99,broken clouds
Cidreira,BR,-30.1811,-50.2056,82.81,69,97,9.98,heavy intensity rain
Sukhobezvodnoye,RU,57.0491,44.8891,8.47,100,100,2.62,overcast clouds
Bonavista,CA,48.6499,-53.1147,35.11,99,100,4.99,snow
Chuy,UY,-33.6971,-53.4616,79.97,55,98,5.08,overcast clouds
Tambura,SS,5.6,27.4667,77.18,19,100,5.01,overcast clouds
Bulgan,MN,48.8125,103.5347,-3.1,87,34,4.47,scattered clouds
Hobyo,SO,5.3505,48.5268,76.55,69,22,10.85,few clouds
Deputatskiy,RU,69.3,139.9,-29.11,96,100,3.18,overcast clouds
New Norfolk,AU,-42.7826,147.0587,58.66,63,100,1.23,overcast clouds
Tigil,RU,57.8,158.6667,9.82,79,99,10.02,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,45.28,88,43,6.35,scattered clouds
Port Macquarie,AU,-31.4333,152.9167,62.56,74,89,13.38,overcast clouds
Castro,BR,-24.7911,-50.0119,75.85,78,95,8.34,moderate rain
Atuona,PF,-9.8,-139.0333,78.78,75,16,23.17,few clouds
Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,14.97,light intensity shower rain
Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,0,21.85,thunderstorm
La Ciotat,FR,43.1748,5.6045,56.17,67,45,12.86,scattered clouds
Kanigiri,IN,15.4,79.5167,73.47,86,54,3.4,broken clouds
Ouallam,NE,14.3188,2.0866,76.15,10,40,10.6,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,67.08,89,100,8.01,moderate rain
Touros,BR,-5.1989,-35.4608,88.7,55,20,13.18,few clouds
Paredon,MX,16.0333,-93.8667,76.51,52,8,28.74,clear sky
